Feature,Bin_Index,Expected_Prop,Observed_Count,Observed_Prop,PSI_Contribution
recency_scaled,0,0.1,306,0.159375,0.027674077714273063
recency_scaled,1,0.1,141,0.0734375,0.008200786231317854
recency_scaled,2,0.1,263,0.13697916666666668,0.01163581503679625
recency_scaled,3,0.1,285,0.1484375,0.01913251258666709
recency_scaled,4,0.1,186,0.096875,9.921468223306352e-05
recency_scaled,5,0.1,407,0.21197916666666666,0.08413194264801295
recency_scaled,6,0.1,133,0.06927083333333334,0.01128209811695606
recency_scaled,7,0.1,86,0.04479166666666667,0.044340466683371375
recency_scaled,8,0.1,44,0.022916666666666665,0.11356731731260887
recency_scaled,9,0.1,69,0.0359375,0.06556084931976784
frequency_scaled,0,0.25,1101,0.5734375,0.26851394186545924
frequency_scaled,1,0.25,429,0.2234375,0.002983743975869738
frequency_scaled,2,0.25,177,0.0921875,0.15743948985021694
frequency_scaled,3,0.25,213,0.1109375,0.11298743827989614
monetary_log_scaled,0,0.1,150,0.078125,0.005400064204752128
monetary_log_scaled,1,0.1,138,0.071875,0.009288047443234982
monetary_log_scaled,2,0.1,134,0.06979166666666667,0.010864595406488788
monetary_log_scaled,3,0.1,156,0.08125,0.003893238089592085
monetary_log_scaled,4,0.1,185,0.09635416666666667,0.00013540459825322782
monetary_log_scaled,5,0.1,241,0.12552083333333333,0.005800925266500413
monetary_log_scaled,6,0.1,237,0.1234375,0.004935111775953507
monetary_log_scaled,7,0.1,248,0.12916666666666668,0.0074647234123350215
monetary_log_scaled,8,0.1,222,0.115625,0.0022684689038202795
monetary_log_scaled,9,0.1,209,0.10885416666666667,0.0007511775827757801
