Feature,Bin_Index,Expected_Prop,Observed_Count,Observed_Prop,PSI_Contribution
recency_scaled,0,0.1,112,0.07008760951188986,0.010631586323762465
recency_scaled,1,0.1,139,0.0869837296620776,0.0018151071866025277
recency_scaled,2,0.1,119,0.07446808510638298,0.007526796771590938
recency_scaled,3,0.1,241,0.15081351689612016,0.020877947867877743
recency_scaled,4,0.1,188,0.11764705882352941,0.002867981108784259
recency_scaled,5,0.1,444,0.27784730913642053,0.1817424371528375
recency_scaled,6,0.1,98,0.06132665832290363,0.018909545230342325
recency_scaled,7,0.1,92,0.057571964956195244,0.023425980060072897
recency_scaled,8,0.1,79,0.04943679599499374,0.03562052228654841
recency_scaled,9,0.1,86,0.05381727158948686,0.028613697995247555
frequency_scaled,0,0.25,872,0.5456821026282853,0.23080225202565843
frequency_scaled,1,0.25,395,0.24718397997496871,3.189987570302475e-05
frequency_scaled,2,0.25,151,0.09449311639549436,0.15129792315723667
frequency_scaled,3,0.25,180,0.11264080100125157,0.10951057114667592
monetary_log_scaled,0,0.1,115,0.07196495619524405,0.009223274432170097
monetary_log_scaled,1,0.1,165,0.1032540675844806,0.00010420318582960683
monetary_log_scaled,2,0.1,132,0.08260325406758448,0.0033248854059657945
monetary_log_scaled,3,0.1,140,0.08760951188986232,0.0016390213343634723
monetary_log_scaled,4,0.1,176,0.11013767209011265,0.000978903366481124
monetary_log_scaled,5,0.1,169,0.10575719649561953,0.00032226299789503887
monetary_log_scaled,6,0.1,216,0.13516896120150187,0.010598355468449228
monetary_log_scaled,7,0.1,182,0.11389236545682102,0.0018071696577788385
monetary_log_scaled,8,0.1,147,0.09198998748435544,0.0006687595218297924
monetary_log_scaled,9,0.1,156,0.09762202753441802,5.723072535295479e-05
